county,state,fipscounty,fipsstate,overdose_deaths,year,trend
ANDERSON,TN,47001,47,20,2015,
ANDERSON,TN,47001,47,24,2016,4.0
ANDERSON,TN,47001,47,34,2017,10.0
ANDERSON,TN,47001,47,18,2018,-16.0
BEDFORD,TN,47003,47,8,2015,
BEDFORD,TN,47003,47,1,2016,-7.0
BEDFORD,TN,47003,47,3,2017,2.0
BEDFORD,TN,47003,47,7,2018,4.0
BENTON,TN,47005,47,1,2016,
BENTON,TN,47005,47,4,2015,3.0
BENTON,TN,47005,47,1,2018,-3.0
BENTON,TN,47005,47,5,2017,4.0
BLEDSOE,TN,47007,47,1,2015,
BLEDSOE,TN,47007,47,2,2016,1.0
BLEDSOE,TN,47007,47,2,2017,0.0
BLEDSOE,TN,47007,47,3,2018,1.0
BLOUNT,TN,47009,47,29,2017,
BLOUNT,TN,47009,47,30,2018,1.0
BLOUNT,TN,47009,47,19,2015,-11.0
BLOUNT,TN,47009,47,21,2016,2.0
BRADLEY,TN,47011,47,7,2016,
BRADLEY,TN,47011,47,10,2015,3.0
BRADLEY,TN,47011,47,17,2018,7.0
BRADLEY,TN,47011,47,14,2017,-3.0
CAMPBELL,TN,47013,47,16,2015,
CAMPBELL,TN,47013,47,4,2016,-12.0
CAMPBELL,TN,47013,47,5,2017,1.0
CAMPBELL,TN,47013,47,3,2018,-2.0
CANNON,TN,47015,47,3,2017,
CANNON,TN,47015,47,3,2018,0.0
CANNON,TN,47015,47,3,2015,0.0
CANNON,TN,47015,47,3,2016,0.0
CARROLL,TN,47017,47,1,2015,
CARROLL,TN,47017,47,1,2016,0.0
CARROLL,TN,47017,47,2,2017,1.0
CARROLL,TN,47017,47,0,2018,-2.0
CARTER,TN,47019,47,16,2017,
CARTER,TN,47019,47,12,2018,-4.0
CARTER,TN,47019,47,10,2015,-2.0
CARTER,TN,47019,47,14,2016,4.0
CHEATHAM,TN,47021,47,15,2015,
CHEATHAM,TN,47021,47,13,2016,-2.0
CHEATHAM,TN,47021,47,24,2017,11.0
